kode_wilayah,provinsi,kabupaten,kecamatan,desa,latitude,longitude,elevasi
35.02.08.2008,,,,gontor,,,
35.02.08.2009,,,,gandu,,,
35.02.08.2010,,,,jabung,,,
35.02.08.2011,,,,bajang,,,
35.02.08.2012,,,,mlarak,,,
35.02.08.2013,,,,serangan,,,
35.02.08.2014,,,,suren,,,
35.02.08.2015,,,,kaponan,,,
35.02.09,,,,jetis,,,
35.02.09.2001,,,,ngasinan,,,
35.02.09.2002,,,,kutu kulon,,,
35.02.09.2003,,,,kutu wetan,,,
35.02.09.2004,,,,kradenan,,,
35.02.09.2005,,,,mojomati,,,
35.02.09.2006,,,,coper,,,
35.02.09.2007,,,,mojorejo,,,
35.02.09.2008,,,,karanggebang,,,
35.02.09.2009,,,,jetis,,,
35.02.09.2010,,,,tegalsari,,,
35.02.09.2011,,,,wonoketro,,,
35.02.09.2012,,,,josari,,,
35.02.09.2013,,,,turi,,,
35.02.09.2014,,,,winong,,,
35.02.10,,,,siman,,,
35.02.10.2001,,,,demangan,,,
35.02.10.2002,,,,ngabar,,,
35.02.10.2003,,,,madusari,,,
35.02.10.2004,,,,beton,,,
35.02.10.2005,,,,sekaran,,,
35.02.10.2006,,,,brahu,,,
35.02.10.2007,,,,kepuhrubuh,,,
35.02.10.2008,,,,sawuh,,,
35.02.10.2009,,,,jarak,,,
35.02.10.2010,,,,tranjang,,,
35.02.10.2011,,,,pijeran,,,
35.02.10.2012,,,,manuk,,,
35.02.10.2013,,,,siman,,,
35.02.10.2014,,,,patihan kidul,,,
35.02.10.2015,,,,ronosentanan,,,
35.02.10.2016,,,,tajug,,,
35.02.10.1017,,,,ronowijayan,,,
35.02.10.1018,,,,mangunsuman,,,
35.02.11,,,,balong,,,
35.02.11.2001,,,,pandak,,,
35.02.11.2002,,,,bulu kidul,,,
35.02.11.2003,,,,bulak,,,
35.02.11.2004,,,,ngendut,,,
35.02.11.2005,,,,karangpatihan,,,
35.02.11.2006,,,,sumberejo,,,
35.02.11.2007,,,,ngumpul,,,
35.02.11.2008,,,,ngraket,,,
35.02.11.2009,,,,dadapan,,,
35.02.11.2010,,,,singkil,,,
35.02.11.2011,,,,karangan,,,
35.02.11.2012,,,,bajang,,,
35.02.11.2013,,,,balong,,,
35.02.11.2014,,,,jalen,,,
35.02.11.2015,,,,karangmojo,,,
35.02.11.2016,,,,sedarat,,,
35.02.11.2017,,,,purworejo,,,
35.02.11.2018,,,,tatung,,,
35.02.11.2019,,,,muneng,,,
35.02.11.2020,,,,ngampel,,,
35.02.12,,,,kauman,,,
35.02.12.2001,,,,tegalombo,,,
35.02.12.2002,,,,nongkodono,,,
35.02.12.2003,,,,sukosari,,,
35.02.12.2004,,,,ngrandu,,,
35.02.12.2005,,,,nglarangan,,,
35.02.12.2006,,,,bringin,,,
35.02.12.2007,,,,pengkol,,,
35.02.12.2008,,,,gabel,,,
35.02.12.2009,,,,ciluk,,,
35.02.12.2010,,,,semanding,,,
35.02.12.2011,,,,tosanan,,,
35.02.12.2012,,,,maron,,,
35.02.12.2013,,,,somoroto,,,
35.02.12.2014,,,,plosojenar,,,
35.02.12.2015,,,,carat,,,
35.02.12.2016,,,,kauman,,,
35.02.13,,,,badegan,,,
35.02.13.2001,,,,dayakan,,,
35.02.13.2002,,,,karangan,,,
35.02.13.2003,,,,tanjunggunung,,,
35.02.13.2004,,,,karangjoho,,,
35.02.13.2005,,,,tanjungrejo,,,
35.02.13.2006,,,,bandaralim,,,
35.02.13.2007,,,,kapuran,,,
35.02.13.2008,,,,watubonang,,,
35.02.13.2009,,,,biting,,,
35.02.13.2010,,,,badegan,,,
35.02.14,,,,sampung,,,
35.02.14.2001,,,,sampung,,,
35.02.14.2002,,,,pohijo,,,
35.02.14.2003,,,,jenangan,,,
35.02.14.2004,,,,nglurup,,,
35.02.14.2005,,,,tulung,,,
35.02.14.2006,,,,carangrejo,,,
35.02.14.2007,,,,pagerukir,,,
35.02.14.2008,,,,kunti,,,
35.02.14.2009,,,,glinggang,,,
35.02.14.2010,,,,gelangkulon,,,
35.02.14.2011,,,,karangwaluh,,,
35.02.14.2012,,,,ringinputih,,,
35.02.15,,,,sukorejo,,,
35.02.15.2001,,,,sukorejo,,,
35.02.15.2002,,,,bangunrejo,,,
35.02.15.2003,,,,sidorejo,,,
35.02.15.2004,,,,nambangrejo,,,
35.02.15.2005,,,,lengkong,,,
35.02.15.2006,,,,gelang lor,,,
35.02.15.2007,,,,serangan,,,
35.02.15.2008,,,,nampan,,,
35.02.15.2009,,,,kranggan,,,
35.02.15.2010,,,,golan,,,
35.02.15.2011,,,,prajegan,,,
35.02.15.2012,,,,kedungbanteng,,,
35.02.15.2013,,,,karanglo lor,,,
35.02.15.2014,,,,gegeran,,,
35.02.15.2015,,,,gandukepuh,,,
35.02.15.2016,,,,kalimalang,,,
35.02.15.2017,,,,sragi,,,
35.02.15.2018,,,,morosari,,,
35.02.16,,,,babadan,,,
35.02.16.1001,,,,kertosari,,,
35.02.16.2002,,,,cekok,,,
35.02.16.1003,,,,patihan wetan,,,
35.02.16.2004,,,,japan,,,
35.02.16.1005,,,,kadipaten,,,
35.02.16.2006,,,,gupolo,,,
35.02.16.2007,,,,polorejo,,,
35.02.16.2008,,,,bareng,,,
35.02.16.2009,,,,ngunut,,,
35.02.16.2010,,,,sukosari,,,
35.02.16.2011,,,,lembah,,,
35.02.16.2012,,,,pondok,,,
35.02.16.2013,,,,babadan,,,
35.02.16.2014,,,,purwosari,,,
35.02.16.2015,,,,trisono,,,
35.02.17,,,,ponorogo,,,
35.02.17.1001,,,,paju,,,
35.02.17.1002,,,,brotonegaran,,,
35.02.17.1003,,,,pakunden,,,
35.02.17.1004,,,,kepatihan,,,
35.02.17.1005,,,,surodikraman,,,
35.02.17.1006,,,,purbosuman,,,
35.02.17.1007,,,,tonatan,,,
35.02.17.1008,,,,bangunsari,,,
35.02.17.1009,,,,tamanarum,,,
35.02.17.1010,,,,kauman,,,
35.02.17.1011,,,,tambakbayan,,,
35.02.17.1012,,,,pinggirsari,,,
35.02.17.1013,,,,mangkujayan,,,
35.02.17.1014,,,,banyudono,,,
35.02.17.1015,,,,nologaten,,,
35.02.17.1016,,,,cokromenggalan,,,
35.02.17.1017,,,,keniten,,,
35.02.17.1018,,,,jingglong,,,
35.02.17.1019,,,,beduri,,,
35.02.18,,,,jenangan,,,
35.02.18.1001,,,,setono,,,
35.02.18.1002,,,,singosaren,,,
35.02.18.2003,,,,mrican,,,
35.02.18.2004,,,,plalangan,,,
35.02.18.2005,,,,nglayang,,,
35.02.18.2006,,,,jenangan,,,
35.02.18.2007,,,,jimbe,,,
35.02.18.2008,,,,ngrupit,,,
35.02.18.2009,,,,pintu,,,
35.02.18.2010,,,,sedah,,,
35.02.18.2011,,,,panjeng,,,
35.02.18.2012,,,,sraten,,,
35.02.18.2013,,,,semanding,,,
35.02.18.2014,,,,tanjungsari,,,
35.02.18.2015,,,,paringan,,,
35.02.18.2016,,,,wates,,,
35.02.18.2017,,,,kemiri,,,
35.02.19,,,,ngebel,,,
35.02.19.2001,,,,ngrogung,,,
35.02.19.2002,,,,sahang,,,
35.02.19.2003,,,,wagir lor,,,
35.02.19.2004,,,,talun,,,
35.02.19.2005,,,,gondowido,,,
35.02.19.2006,,,,pupus,,,
35.02.19.2007,,,,ngebel,,,
35.02.19.2008,,,,sempu,,,
35.02.20,,,,jambon,,,
35.02.20.2001,,,,jonggol,,,
35.02.20.2002,,,,poko,,,
35.02.20.2003,,,,sendang,,,
35.02.20.2004,,,,bringinan,,,
35.02.20.2005,,,,karanglo kidul,,,
35.02.20.2006,,,,krebet,,,
35.02.20.2007,,,,bulu lor,,,
35.02.20.2008,,,,jambon,,,
35.02.20.2009,,,,blembem,,,
35.02.20.2010,,,,pulosari,,,
35.02.20.2011,,,,menang,,,
35.02.20.2012,,,,srandil,,,
35.02.20.2013,,,,sidoharjo,,,
35.02.21,,,,pudak,,,
35.02.21.2001,,,,bareng,,,
35.02.21.2002,,,,tambang,,,
35.02.21.2003,,,,krisik,,,
35.02.21.2004,,,,pudak wetan,,,
35.02.21.2005,,,,banjarejo,,,
35.02.21.2006,,,,pudak kulon,,,
35.03,,,,kab. trenggalek,,,
35.03.01,,,,panggul,,,
35.03.01.2001,,,,besuki,,,
35.03.01.2002,,,,terbis,,,
35.03.01.2003,,,,karangtengah,,,
35.03.01.2004,,,,wonocoyo,,,
35.03.01.2005,,,,depok,,,
35.03.01.2006,,,,kertosono,,,
35.03.01.2007,,,,gayam,,,
35.03.01.2008,,,,panggul,,,
35.03.01.2009,,,,bodag,,,
35.03.01.2010,,,,tangkil,,,
35.03.01.2011,,,,nglebeng,,,
35.03.01.2012,,,,banjar,,,
35.03.01.2013,,,,ngrencak,,,
35.03.01.2014,,,,barang,,,
35.03.01.2015,,,,sawahan,,,
35.03.01.2016,,,,manggis,,,
35.03.01.2017,,,,ngrambingan,,,
35.03.02,,,,munjungan,,,
35.03.02.2001,,,,ngulungkulon,,,
35.03.02.2002,,,,sobo,,,
35.03.02.2003,,,,ngulungwetan,,,
35.03.02.2004,,,,craken,,,
35.03.02.2005,,,,masaran,,,
35.03.02.2006,,,,tawing,,,
35.03.02.2007,,,,karangturi,,,
35.03.02.2008,,,,munjungan,,,
35.03.02.2009,,,,besuki,,,
35.03.02.2010,,,,bendoroto,,,
35.03.02.2011,,,,bangun,,,
35.03.03,,,,pule,,,
35.03.03.2001,,,,sidomulyo,,,
35.03.03.2002,,,,puyung,,,
35.03.03.2003,,,,joho,,,
35.03.03.2004,,,,kembangan,,,
35.03.03.2005,,,,pakel,,,
35.03.03.2006,,,,pule,,,
35.03.03.2007,,,,tanggaran,,,
35.03.03.2008,,,,karanganyar,,,
35.03.03.2009,,,,jombok,,,
35.03.03.2010,,,,sukokidul,,,
35.03.04,,,,dongko,,,
35.03.04.2001,,,,cakul,,,
35.03.04.2002,,,,siki,,,
35.03.04.2003,,,,watuagung,,,
35.03.04.2004,,,,pandean,,,
35.03.04.2005,,,,petung,,,
35.03.04.2006,,,,salamwates,,,
35.03.04.2007,,,,dongko,,,
35.03.04.2008,,,,sumberbening,,,
35.03.04.2009,,,,ngerdani,,,
35.03.04.2010,,,,pringapus,,,
35.03.05,,,,tugu,,,
35.03.05.2001,,,,nglinggis,,,
35.03.05.2002,,,,gading,,,
35.03.05.2003,,,,duren,,,
35.03.05.2004,,,,pucanganak,,,
35.03.05.2005,,,,ngepeh,,,
35.03.05.2006,,,,jambu,,,
35.03.05.2007,,,,dermosari,,,
35.03.05.2008,,,,sukorejo,,,
35.03.05.2009,,,,tumpuk,,,
35.03.05.2010,,,,winong,,,
35.03.05.2011,,,,tegaren,,,
35.03.05.2012,,,,gondang,,,
35.03.05.2013,,,,nglongsor,,,
35.03.05.2014,,,,banaran,,,
35.03.05.2015,,,,prambon,,,
35.03.06,,,,karangan,,,
35.03.06.2001,,,,kayen,,,
35.03.06.2002,,,,jati,,,
35.03.06.2003,,,,karangan,,,
35.03.06.2004,,,,kerjo,,,
35.03.06.2005,,,,kedungsigit,,,
35.03.06.2006,,,,salamrejo,,,
35.03.06.2007,,,,sukowetan,,,
35.03.06.2008,,,,ngentrong,,,
35.03.06.2009,,,,sumber,,,
35.03.06.2010,,,,buluagung,,,
35.03.06.2011,,,,sumberingin,,,
35.03.06.2012,,,,jatiprahu,,,
35.03.07,,,,kampak,,,
35.03.07.2001,,,,ngadimulyo,,,
35.03.07.2002,,,,bogoran,,,
35.03.07.2003,,,,timahan,,,
35.03.07.2004,,,,bendoagung,,,
35.03.07.2005,,,,karangrejo,,,
35.03.07.2006,,,,sugihan,,,
35.03.07.2007,,,,senden,,,
35.03.08,,,,watulimo,,,
35.03.08.2001,,,,karanggandu,,,
35.03.08.2002,,,,sawahan,,,
35.03.08.2003,,,,dukuh,,,
35.03.08.2004,,,,pakel,,,
35.03.08.2005,,,,margomulyo,,,
35.03.08.2006,,,,ngembel,,,
35.03.08.2007,,,,slawe,,,
35.03.08.2008,,,,gemaharjo,,,
35.03.08.2009,,,,watulimo,,,
35.03.08.2010,,,,watuagung,,,
35.03.08.2011,,,,prigi,,,
35.03.08.2012,,,,tasikmadu,,,
35.03.09,,,,bendungan,,,
35.03.09.2001,,,,masaran,,,
35.03.09.2002,,,,sengon,,,
35.03.09.2003,,,,surenlor,,,
35.03.09.2004,,,,sumurup,,,
35.03.09.2005,,,,srabah,,,
35.03.09.2006,,,,dompyong,,,
35.03.09.2007,,,,depok,,,
35.03.09.2008,,,,botoputih,,,
35.03.10,,,,gandusari,,,
35.03.10.2001,,,,ngrayung,,,
35.03.10.2002,,,,wonorejo,,,
35.03.10.2003,,,,sukorejo,,,
35.03.10.2004,,,,wonoanti,,,
35.03.10.2005,,,,jajar,,,
35.03.10.2006,,,,gandusari,,,
35.03.10.2007,,,,widoro,,,
35.03.10.2008,,,,karanganyar,,,
35.03.10.2009,,,,melis,,,
35.03.10.2010,,,,krandegan,,,
35.03.10.2011,,,,sukorame,,,
35.03.11,,,,trenggalek,,,
35.03.11.2001,,,,ngares,,,
35.03.11.1002,,,,tamanan,,,
35.03.11.1003,,,,ngantru,,,
35.03.11.2004,,,,karangsoko,,,
35.03.11.1005,,,,kelutan,,,
35.03.11.1006,,,,surodakan,,,
35.03.11.1007,,,,sumbergedong,,,
35.03.11.2008,,,,sambirejo,,,
35.03.11.2009,,,,sumberdadi,,,
35.03.11.2010,,,,rejowinangun,,,
35.03.11.2011,,,,sukosari,,,
35.03.11.2012,,,,parakan,,,
35.03.11.2013,,,,dawuhan,,,
35.03.12,,,,pogalan,,,
35.03.12.2001,,,,wonocoyo,,,
35.03.12.2002,,,,ngetal,,,
35.03.12.2003,,,,ngadirenggo,,,
35.03.12.2004,,,,pogalan,,,
35.03.12.2005,,,,ngulankulon,,,
35.03.12.2006,,,,bendorejo,,,
35.03.12.2007,,,,gembleb,,,
35.03.12.2008,,,,ngadirejo,,,
35.03.12.2009,,,,ngulanwetan,,,
35.03.12.2010,,,,kedunglurah,,,
35.03.13,,,,durenan,,,
35.03.13.2001,,,,ngadisuko,,,
35.03.13.2002,,,,gador,,,
35.03.13.2003,,,,kendalrejo,,,
35.03.13.2004,,,,semarum,,,
35.03.13.2005,,,,sumberejo,,,
35.03.13.2006,,,,durenan,,,
35.03.13.2007,,,,pakis,,,
35.03.13.2008,,,,pandean,,,
35.03.13.2009,,,,panggungsari,,,
35.03.13.2010,,,,sumbergayam,,,
35.03.13.2011,,,,kamulan,,,
35.03.13.2012,,,,malasan,,,
35.03.13.2013,,,,baruharjo,,,
35.03.13.2014,,,,karanganom,,,
35.03.14,,,,suruh,,,
35.03.14.2001,,,,puru,,,
35.03.14.2002,,,,wonokerto,,,
35.03.14.2003,,,,nglebo,,,
35.03.14.2004,,,,ngrandu,,,
35.03.14.2005,,,,gamping,,,
35.03.14.2006,,,,suruh,,,
35.03.14.2007,,,,mlinjon,,,
35.04,,,,kab. tulungagung,,,
35.04.01,,,,tulungagung,,,
35.04.01.1001,,,,kedungsoko,,,
35.04.01.1002,,,,tertek,,,
35.04.01.1003,,,,karangwaru,,,
35.04.01.1004,,,,tamanan,,,
35.04.01.1005,,,,jepun,,,
35.04.01.1006,,,,bago,,,
35.04.01.1007,,,,kepatihan,,,
35.04.01.1008,,,,kenayan,,,
35.04.01.1009,,,,kampungdalem,,,
35.04.01.1010,,,,kauman,,,
